posting_yyyymm|BUKRS|awtyp|document_count
201007|1000|BKPF|4
201007|6200|MKPF|2
201007|1000|RMRP|1
201006|1000|MKPF|18
201006|1000|BKPF|10
201006|6200|MKPF|8
201006|1000|VBRK|3
201006|1000|PRCHG|2
201006|1000|RMRP|1
201006|2000|MKPF|1
201006|6200|VBRK|1
201005|1000|BKPF|39
201005|1000|MKPF|13
201005|1000|VBRK|10
201005|6200|MKPF|4
201005|1000|BKPFF|3
201005|2000|MKPF|2
201004|1000|MKPF|41
201004|1000|BKPF|28
201004|1000|VBRK|8
201004|6200|VBRK|5
201004|2000|VBRK|2
201004|2000|MKPF|2
201004|6200|MKPF|1
201003|1000|MKPF|23
201003|1000|BKPF|17
201003|5000|BKPF|15
201003|6200|MKPF|11
201003|6200|VBRK|11
201003|6300|VBRK|9
201003|6300|MKPF|9
201003|6210|VBRK|7
201003|6210|MKPF|6
201003|1000|VBRK|6
201003|6200|RMRP|3
201003|3100|MKPF|3
201003|3100|BKPF|2
201003|2000|MKPF|2
201003|2000|BKPF|1
201003|6100|RMRP|1
201003|6100|MKPF|1
201003|2000|VBRK|1
201003|3100|VBRK|1
201003|6300|RMRP|1
201003|1000|RMRP|1
201003|3100|RMRP|1
201002|1000|BKPF|25
201002|3100|VBRK|13
201002|3100|MKPF|11
201002|1000|MKPF|8
201002|1000|VBRK|4
201002|6200|MKPF|3
201002|5000|BKPF|2
201002|6200|RMRP|2
201002|3100|RMRP|2
201002|3100|BKPF|1
201001|1000|MKPF|41
201001|1000|BKPF|28
201001|5000|BKPF|9
201001|3100|VBRK|9
201001|3100|MKPF|9
201001|1000|VBRK|8
201001|6300|MKPF|4
201001|3100|RMRP|3
201001|1000|RMRP|3
201001|6300|RMRP|2
201001|2000|BKPF|1
201001|1000|PRCHG|1
201001|5000|MKPF|1
200912|1000|BKPF|60
200912|2000|BKPFF|36
200912|1000|MKPF|35
200912|2000|BKPF|32
200912|1000|BKPFF|30
200912|1000|AUAK|26
200912|1000|RMRP|12
200912|1000|VBRK|4
200912|3100|BKPF|1
200912|5000|BKPF|1
200912|3100|BKPFF|1
200912|5000|BKPFF|1
200912|3100|MKPF|1
200911|1000|BKPF|56
200911|1000|MKPF|46
200911|1000|VBRK|12
200911|3100|BKPF|5
200911|1000|RMRP|3
200911|3000|BKPF|2
200911|2000|BKPF|2
200911|5000|BKPF|1
200910|1000|MKPF|53
200910|6300|BKPF|29
200910|6200|MKPF|17
200910|3100|BKPF|16
200910|6210|BKPF|15
200910|1000|BKPF|13
200910|1000|VBRK|7
200910|6300|RMRP|7
200910|3100|RMRP|6
200910|6200|BKPF|6
200910|2000|VBRK|5
200910|6210|RMRP|5
200910|2000|BKPF|5
200910|6200|RMRP|4
200910|6200|VBRK|3
200910|6300|VBRK|2
200910|2000|MKPF|2
200910|3000|MKPF|2
200910|6100|VBRK|1
200910|5000|VBRK|1
200910|5000|MKPF|1
200910|3000|VBRK|1
200910|2000|RMRP|1
200910|3100|VBRK|1
200910|5000|BKPF|1
200910|3100|MKPF|1
200910|1000|RMRP|1
200909|1000|MKPF|124
200909|1000|BKPF|74
200909|2000|MKPF|65
200909|5000|MKPF|60
200909|3000|MKPF|48
200909|1000|VBRK|46
200909|3100|MKPF|43
200909|6200|MKPF|39
200909|6210|MKPF|38
200909|6300|BKPF|36
200909|6300|MKPF|35
200909|6100|MKPF|34
200909|3100|BKPF|30
200909|1000|BKPFF|26
200909|5000|BKPF|23
200909|2000|BKPF|17
200909|2000|VBRK|14
200909|6200|BKPF|13
200909|6210|BKPF|12
200909|5000|VBRK|12
200909|3000|VBRK|10
200909|3000|BKPF|10
200909|3000|BKPFF|8
200909|3100|VBRK|7
200909|6100|BKPF|6
200909|6200|VBRK|6
200909|6210|VBRK|5
200909|1000|RMRP|5
200909|3100|BKPFF|4
200909|6100|VBRK|4
200909|6100|BKPFF|3
200909|6200|BKPFF|3
200909|6300|VBRK|3
200909|6210|BKPFF|3
200909|6300|BKPFF|3
200909|3100|RMRP|2
200909|5000|RMRP|2
200909|2000|RMRP|1
200909|3000|RMRP|1
200909|6200|RMRP|1
200909|6300|RMRP|1
200908|1000|BKPF|110
200908|1000|MKPF|95
200908|6300|BKPF|81
200908|1000|VBRK|48
200908|3100|BKPF|35
200908|6200|BKPF|27
200908|2000|BKPF|26
200908|6210|BKPF|24
200908|5000|BKPF|16
200908|3000|BKPF|14
200908|2000|MKPF|11
200908|1000|RMRP|5
200908|6210|RMRP|5
200908|2000|VBRK|4
200908|3100|MKPF|3
200908|6100|BKPF|2
200908|3000|MKPF|2
200908|6300|RMRP|2
200908|3100|RMRP|2
200908|6200|RMRP|1
200907|1000|MKPF|285
200907|1000|BKPF|174
200907|2000|MKPF|74
200907|1000|VBRK|72
200907|2000|BKPF|33
200907|1000|BKPFF|26
200907|2000|BKPFF|21
200907|5000|MKPF|20
