posting_yyyymm|WERKS|BWART|movement_rows
200908|5000|315|1
200908|3100|315|1
200908|6210|201|1
200908|1000|702|1
200908|1000|643|1
200908|6300|202|1
200908|6300|315|1
200908|5000|201|1
200908|6210|202|1
200908|2000|202|1
200908|3000|202|1
200908|2000|315|1
200908|3000|315|1
200908|3100|201|1
200908|6300|201|1
200908|1000|501|1
200908|3000|101|1
200908|6200|201|1
200908|6200|202|1
200908|6100|315|1
200908|6200|315|1
200908|6100|202|1
200908|2000|101|1
200908|1000|201|1
200908|6100|201|1
200908|6210|315|1
200907|1000|601|124
200907|1000|101|98
200907|1000|561|75
200907|2000|101|29
200907|1000|412|28
200907|1000|301|22
200907|1000|501|22
200907|2000|301|20
200907|1000|643|18
200907|2000|601|18
200907|2000|351|17
200907|1000|351|17
200907|2000|561|15
200907|5000|601|14
200907|3100|561|11
200907|3100|601|10
200907|1000|651|9
200907|1000|352|8
200907|1000|201|8
200907|1000|261|8
200907|5000|101|8
200907|2000|352|8
200907|1000|541|6
200907|1000|653|6
200907|5000|561|6
200907|3100|101|6
200907|1000|602|5
200907|1000|702|4
200907|1000|459|4
200907|1000|344|4
200907|1000|311|4
200907|6300|301|3
200907|6300|344|2
200907|6210|561|2
200907|3100|301|2
200907|1000|313|2
200907|1000|343|2
200907|6300|561|2
200907|1000|102|2
200907|2000|412|2
200907|1000|411|2
200907|1000|644|2
200907|2000|643|1
200907|6200|561|1
200907|6200|601|1
200907|6300|201|1
200907|1000|555|1
200907|1000|315|1
200907|6200|101|1
200907|6300|601|1
200907|6200|102|1
200907|2000|201|1
200907|3100|562|1
200907|2000|102|1
200907|1000|103|1
200907|6200|301|1
200907|6300|101|1
200907|2000|501|1
200907|1000|161|1
200907|5000|202|1
200907|6210|601|1
200907|1000|708|1
200907|6300|202|1
200907|1000|262|1
200906|1000|601|130
200906|1000|101|111
200906|1000|561|109
200906|1000|412|82
200906|1000|344|44
200906|1000|541|32
200906|1000|411|28
200906|6300|101|22
200906|1000|311|20
200906|1000|313|20
200906|1000|261|20
200906|1000|653|19
200906|6300|601|18
200906|1000|102|16
200906|2000|101|14
200906|1000|501|14
200906|1000|651|13
200906|2000|643|12
200906|1000|643|12
200906|1000|543|12
200906|1000|161|12
200906|6300|561|12
200906|6300|412|12
200906|1000|343|10
200906|5000|601|10
200906|3100|601|9
200906|6100|601|9
200906|6210|561|9
200906|1000|602|9
200906|2000|561|8
200906|5000|501|8
200906|1000|413|8
200906|1000|453|8
200906|2000|601|7
200906|1000|707|6
200906|1000|459|6
200906|1000|701|6
200906|1000|703|6
200906|3100|501|5
200906|1000|315|5
200906|6300|501|5
200906|6200|601|4
200906|3100|101|4
200906|1000|702|4
200906|6100|501|4
200906|6210|601|4
200906|5000|602|4
200906|6210|101|3
200906|6100|561|3
200906|3100|561|3
200906|6210|651|2
200906|1000|201|2
200906|5000|101|2
200906|1000|644|2
200906|6100|602|2
200906|1000|652|2
200906|2000|412|2
200906|1000|202|2
200906|3000|101|2
200906|6200|561|2
200906|2000|411|2
200906|1000|708|2
200906|2000|602|1
200906|1000|555|1
200906|6200|101|1
200906|5000|561|1
200906|2000|562|1
200906|1000|562|1
200906|1000|704|1
200906|1000|262|1
200905|1000|101|140
200905|1000|561|113
200905|1000|344|60
200905|1000|601|54
200905|1000|412|34
200905|1000|311|28
200905|1000|541|28
200905|1000|543|17
200905|1000|261|15
200905|1000|102|14
200905|2000|101|13
200905|5000|101|13
200905|1000|702|12
200905|5000|601|11
200905|1000|301|11
200905|1000|602|11
200905|1000|343|10
200905|1000|161|10
200905|1000|413|8
200905|1000|201|8
200905|1000|544|7
200905|1000|651|7
200905|6200|601|6
200905|2000|561|6
200905|2000|351|5
200905|1000|562|5
200905|1000|351|5
200905|5000|561|5
200905|1000|643|4
200905|1000|202|4
200905|1000|352|4
200905|1000|262|4
200905|2000|352|4
200905|6200|301|4
200905|2000|301|4
200905|1000|313|4
200905|6210|101|3
200905|2000|643|3
200905|3100|101|3
200905|6200|602|3
200905|6200|561|3
200905|1000|701|3
200905|5000|651|3
200905|1000|459|2
200905|1000|411|2
200905|1000|555|2
200905|1000|315|2
200905|1000|322|2
200905|1000|501|1
200905|2000|601|1
200905|3000|301|1
200905|6200|101|1
200905|6200|562|1
200905|2000|562|1
200905|6200|302|1
200905|3000|101|1
200905|6200|102|1
200905|1000|551|1
200905|5000|501|1
200905|1000|302|1
200904|1000|101|51
200904|1000|561|45
200904|1000|601|38
200904|1000|311|10
200904|1000|344|10
200904|1000|501|9
200904|2000|101|5
200904|1000|303|4
200904|1000|201|4
200904|1000|412|4
200904|1000|343|4
200904|1000|313|4
200904|1000|102|4
200904|1000|602|4
200904|1000|411|4
200904|1000|202|3
200904|1000|315|3
200904|1000|122|3
200904|1000|651|3
200904|1000|702|3
200904|1000|161|3
